timestamp,src_ip,dst_ip,src_port,dst_port,seq,ack,payload_len,inter_arrival_time,jitter,retransmission_rate,duplicate_ack_count,rtt_estimate,retransmission,lost_segment,duplicate_ack,packet_lost
1771738504.067815,10.0.0.1,10.0.0.2,57080,5001,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1771738504.109173,10.0.0.1,10.0.0.2,57080,5001,1,1,0,0.041357994079589844,0.029244518069951063,0.0,0.0,0.0,0,0,0,0
1771738506.113646,10.0.0.1,10.0.0.2,57080,5001,1,1,60,2.0044729709625244,1.1455306475934854,0.0,0.0,0.0,0,0,0,0
1771738506.113749,10.0.0.1,10.0.0.2,57080,5001,61,1,2896,0.000102996826171875,0.9955167739287382,0.0,0.0,0.0,0,0,0,0
1771738506.114894,10.0.0.1,10.0.0.2,57080,5001,2957,1,2896,0.0011448860168457031,0.891840419368035,0.0,0.0,0.0,0,0,0,0
1771738506.117316,10.0.0.1,10.0.0.2,57080,5001,5853,1,2896,0.0024220943450927734,0.8915630572856941,0.0,0.0,0.0,0,0,0,0
1771738506.119826,10.0.0.1,10.0.0.2,57080,5001,8749,1,2896,0.00251007080078125,0.895737163899715,0.0,0.0,0.0,0,0,0,0
1771738506.122206,10.0.0.1,10.0.0.2,57080,5001,11645,1,1448,0.002379894256591797,0.0010603941723000537,0.0,0.0,0.0,0,0,0,0
1771738506.153759,10.0.0.1,10.0.0.2,57080,5001,13093,1,2896,0.031553030014038086,0.013177402374300984,0.0,0.0,0.009838104248046875,0,0,0,0
1771738506.154903,10.0.0.1,10.0.0.2,57080,5001,15989,1,2896,0.0011439323425292969,0.013177526446208883,0.0,0.0,0.010982036590576172,0,0,0,0
1771738506.157327,10.0.0.1,10.0.0.2,57080,5001,18885,1,2896,0.002424001693725586,0.013177324566921916,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.159749,10.0.0.1,10.0.0.2,57080,5001,21781,29,0,0.0024220943450927734,0.013186546899026848,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.159852,10.0.0.1,10.0.0.2,57080,5001,21781,29,2896,0.000102996826171875,0.01346486282046791,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.162308,10.0.0.1,10.0.0.2,57080,5001,24677,29,2896,0.0024559497833251953,0.001057852711581142,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.164646,10.0.0.1,10.0.0.2,57080,5001,27573,29,2896,0.002337932586669922,0.001032646891008368,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.167067,10.0.0.1,10.0.0.2,57080,5001,30469,29,2896,0.002421140670776367,0.0010323183442797383,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.16949,10.0.0.1,10.0.0.2,57080,5001,34813,29,2896,0.0024230480194091797,0.0010324279155193,0.0,0.0,0.013406038284301758,0,1,0,1
1771738506.193847,10.0.0.1,10.0.0.2,57080,5001,37709,29,2896,0.024356842041015625,0.009815238571087908,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.195031,10.0.0.1,10.0.0.2,57080,5001,40605,29,2896,0.0011839866638183594,0.009971187243278997,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.197453,10.0.0.1,10.0.0.2,57080,5001,43501,29,2896,0.0024220943450927734,0.0099623778205058,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.199891,10.0.0.1,10.0.0.2,57080,5001,46397,29,2896,0.002438068389892578,0.009960621787087068,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.202298,10.0.0.1,10.0.0.2,57080,5001,49293,29,2896,0.0024068355560302734,0.009962309622738865,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.204725,10.0.0.1,10.0.0.2,57080,5001,52189,29,2896,0.0024271011352539062,0.0005544521684223838,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.207174,10.0.0.1,10.0.0.2,57080,5001,56533,29,2896,0.00244903564453125,1.601189782904731e-05,0.0,0.0,0.013406038284301758,0,1,0,1
1771738506.209573,10.0.0.1,10.0.0.2,57080,5001,59429,29,2896,0.002398967742919922,2.0949654818737386e-05,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.211989,10.0.0.1,10.0.0.2,57080,5001,62325,29,2896,0.002415895462036133,1.952603040367e-05,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.21441,10.0.0.1,10.0.0.2,57080,5001,65221,29,2896,0.002421140670776367,1.819697688875306e-05,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.216835,10.0.0.1,10.0.0.2,57080,5001,68117,29,2896,0.002424955368041992,1.808417102694604e-05,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.219254,10.0.0.1,10.0.0.2,57080,5001,71013,29,2896,0.002418994903564453,1.0071033326987277e-05,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.221677,10.0.0.1,10.0.0.2,57080,5001,73909,29,2896,0.0024230480194091797,3.5266613172650788e-06,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.2241,10.0.0.1,10.0.0.2,57080,5001,76805,29,1448,0.0024230480194091797,2.25932268913705e-06,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.225311,10.0.0.1,10.0.0.2,57080,5001,78253,29,2896,0.001210927963256836,0.0005418410279536616,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.227738,10.0.0.1,10.0.0.2,57080,5001,81149,29,2896,0.0024268627166748047,0.0005420570532562529,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.239945,10.0.0.1,10.0.0.2,57080,5001,33365,29,1448,0.01220703125,0.004541121206460947,0.1,0.0,0.013406038284301758,1,0,0,1
1771738506.250847,10.0.0.1,10.0.0.2,57080,5001,84045,29,2896,0.010902166366577148,0.005265876246427422,0.1,0.0,0.013406038284301758,0,0,0,0
1771738506.253319,10.0.0.1,10.0.0.2,57080,5001,86941,29,1448,0.002471923828125,0.005258000923911672,0.1,0.0,0.013406038284301758,0,0,0,0
1771738506.25448,10.0.0.1,10.0.0.2,57080,5001,88389,29,1448,0.0011608600616455078,0.005269065735544926,0.1,0.0,0.013406038284301758,0,0,0,0
1771738506.255692,10.0.0.1,10.0.0.2,57080,5001,89837,29,2896,0.0012121200561523438,0.005488846033434352,0.1,0.0,0.013406038284301758,0,0,0,0
1771738506.258204,10.0.0.1,10.0.0.2,57080,5001,94181,29,1448,0.0025119781494140625,0.004105360340032801,0.1,0.0,0.013406038284301758,0,1,0,1
1771738506.259331,10.0.0.1,10.0.0.2,57080,5001,55085,29,1448,0.001127004623413086,0.0007266610967834609,0.1,0.0,0.013406038284301758,0,0,0,0
1771738506.292115,10.0.0.1,10.0.0.2,57080,5001,33365,29,1448,0.03278398513793945,0.014001442511355738,0.2,0.0,0.013406038284301758,1,0,0,1
1771738506.293222,10.0.0.1,10.0.0.2,57080,5001,81149,29,2896,0.0011069774627685547,0.014007809987208296,0.2,0.0,0.013406038284301758,0,0,0,0
1771738506.29933,10.0.0.1,10.0.0.2,57080,5001,92733,29,1448,0.00610804557800293,0.013601917366659173,0.2,0.0,0.013406038284301758,0,0,0,0
1771738506.33231,10.0.0.1,10.0.0.2,57080,5001,95629,29,1904,0.03297996520996094,0.016612738716543535,0.1,0.0,0.013406038284301758,0,0,0,0
1771738506.333825,10.0.0.1,10.0.0.2,57080,5001,97533,29,2896,0.0015151500701904297,0.01653346757651931,0.1,0.0,0.013406038284301758,0,0,0,0
1771738506.336248,10.0.0.1,10.0.0.2,57080,5001,100429,29,1448,0.002422809600830078,0.013645823470759412,0.1,0.0,0.013406038284301758,0,0,0,0
1771738506.339407,10.0.0.1,10.0.0.2,57080,5001,101877,29,992,0.003159046173095703,0.01338394964680564,0.1,0.0,0.013406038284301758,0,0,0,0
1771738506.339408,10.0.0.1,10.0.0.2,57080,5001,102869,29,1448,9.5367431640625e-07,0.014005136154939691,0.1,0.0,0.013406038284301758,0,0,0,0
1771738506.373868,10.0.0.1,10.0.0.2,57080,5001,104317,29,2896,0.03446006774902344,0.014664818469086812,0.1,0.0,0.013406038284301758,0,0,0,0
1771738506.375533,10.0.0.1,10.0.0.2,57080,5001,107213,29,2896,0.0016651153564453125,0.01464758623323817,0.1,0.0,0.013406038284301758,0,0,0,0
1771738506.377955,10.0.0.1,10.0.0.2,57080,5001,113005,29,2896,0.002421855926513672,0.014647682579184024,0.0,0.0,0.013406038284301758,0,1,0,1
1771738506.380377,10.0.0.1,10.0.0.2,57080,5001,115901,29,2896,0.0024220943450927734,0.01471641260525683,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.3828,10.0.0.1,10.0.0.2,57080,5001,118797,29,2896,0.0024230480194091797,0.014416099385740207,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.385222,10.0.0.1,10.0.0.2,57080,5001,121693,29,2896,0.002421855926513672,0.00033858496400235815,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.422992,10.0.0.1,10.0.0.2,57080,5001,124589,29,2896,0.03777003288269043,0.015808025382536776,0.0,0.0,0.013406038284301758,0,0,0,0
1771738506.425501,10.0.0.1,10.0.0.2,57080,5001,127485,29,2896,0.0025091171264648438,0.015798313975921206,0.0,0.0,0.013406038284301758,0,0,0,0
