timestamp,src_ip,dst_ip,src_port,dst_port,seq,ack,payload_len,inter_arrival_time,jitter,retransmission_rate,duplicate_ack_count,rtt_estimate,retransmission,lost_segment,duplicate_ack,packet_lost
1771738798.737996,10.0.0.1,10.0.0.2,49062,5001,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1771738800.729208,10.0.0.1,10.0.0.2,49062,5001,0,0,0,1.9912118911743164,1.4079994310286488,0.5,0.0,0.0,1,0,0,1
1771738801.753216,10.0.0.1,10.0.0.2,49062,5001,0,0,0,1.02400803565979,0.9957409762560395,0.6666666666666666,0.0,0.0,1,0,0,1
1771738802.77721,10.0.0.1,10.0.0.2,49062,5001,0,0,0,1.023993968963623,0.8130741411708867,0.75,0.0,0.0,1,0,0,1
1771738802.81776,10.0.0.1,10.0.0.2,49062,5001,1,1,60,0.04054999351501465,0.8268661506842735,0.6,0.0,0.0,0,0,0,0
1771738802.817863,10.0.0.1,10.0.0.2,49062,5001,61,1,2896,0.000102996826171875,0.8268407422205827,0.5,0.0,0.0,0,0,0,0
1771738802.819011,10.0.0.1,10.0.0.2,49062,5001,5853,1,2896,0.0011479854583740234,0.5534768370550328,0.42857142857142855,0.0,0.0,0,1,0,1
1771738802.821433,10.0.0.1,10.0.0.2,49062,5001,8749,1,2896,0.0024220943450927734,0.4533204211536433,0.375,0.0,0.0,0,0,0,0
1771738802.823853,10.0.0.1,10.0.0.2,49062,5001,11645,1,1448,0.0024199485778808594,0.017480266774656673,0.3333333333333333,0.0,0.0,0,0,0,0
1771738802.858,10.0.0.1,10.0.0.2,49062,5001,13093,1,2896,0.034147024154663086,0.014622056243737013,0.3,0.0,0.0,0,0,0,0
1771738802.859227,10.0.0.1,10.0.0.2,49062,5001,15989,1,2896,0.0012269020080566406,0.01447730778494961,0.3,0.0,0.0,0,0,0,0
1771738802.861584,10.0.0.1,10.0.0.2,49062,5001,21781,1,2896,0.002357006072998047,0.014337983419473475,0.2,0.0,0.0,0,1,0,1
1771738802.873205,10.0.0.1,10.0.0.2,49062,5001,2957,1,1448,0.01162099838256836,0.013945593248509731,0.1,0.0,0.0,0,0,0,0
1771738802.901732,10.0.0.1,10.0.0.2,49062,5001,18885,1,2896,0.028527021408081055,0.015073920731386619,0.0,0.0,0.0,0,0,0,0
1771738802.902877,10.0.0.1,10.0.0.2,49062,5001,27573,1,2896,0.0011451244354248047,0.011773069536102888,0.0,0.0,0.0,0,1,0,1
1771738802.913325,10.0.0.1,10.0.0.2,49062,5001,31917,1,1448,0.010447978973388672,0.01094924755289184,0.0,0.0,0.0,0,1,0,1
1771738802.942955,10.0.0.1,10.0.0.2,49062,5001,4405,1,1448,0.029629945755004883,0.012379354196724512,0.0,0.0,0.0,0,0,0,0
1771738802.942958,10.0.0.1,10.0.0.2,49062,5001,18885,1,2896,3.0994415283203125e-06,0.01439700728176557,0.0,0.0,0.0,0,0,0,0
1771738802.983022,10.0.0.1,10.0.0.2,49062,5001,30469,1,1448,0.04006385803222656,0.017831888250064994,0.1,0.0,0.0,1,0,0,1
1771738802.983026,10.0.0.1,10.0.0.2,49062,5001,34813,1,2896,4.0531158447265625e-06,0.018079244522463702,0.1,0.0,0.0,0,1,0,1
1771738813.465207,10.0.0.1,10.0.0.2,49062,5001,24677,1,1448,10.482181072235107,4.680014962811101,0.2,0.0,0.0,1,0,0,1
1771738814.018608,10.0.0.1,10.0.0.2,49062,5001,26125,1,1448,0.553400993347168,4.62736316898093,0.3,0.0,0.010802984237670898,1,0,0,1
1771738814.019769,10.0.0.1,10.0.0.2,49062,5001,30469,1,1448,0.0011608600616455078,4.62722464032383,0.4,0.0,0.011963844299316406,1,0,0,1
1771738814.020979,10.0.0.1,10.0.0.2,49062,5001,33365,1,1448,0.0012099742889404297,4.631821368607079,0.5,0.0,0.013173818588256836,1,0,0,1
